doctor,hospital,new_price,ori_price,orders,diaries
【鼻部】BABY1 无痕鼻综合特价8800    自然、安全、精美,广州凯美达医疗美容门诊部,8800.0,68320.0,110.0,55.0
【鼻部】[综合鼻修复] 新氧名医朱灿博士亲自手术 ,深圳蒳美迩医疗美容门诊部,35000.0,55000.0,130.0,6.0
【硅胶隆鼻】民生小综合隆鼻术，塑造完美鼻型,深圳民生妇科医院,5980.0,28000.0,17.0,0.0
【鼻部综合】王氏美鼻，私人订制全立体鼻，【招案例模特】自然鼻挺不惧揉捏打造完美侧颜杀,深圳睿京医疗美容门诊部,4800.0,69800.0,19.0,15.0
【鼻部】【上海解放军455医院@李宇飞】硅胶隆鼻 耳软骨垫鼻尖 ,上海公立医生运营部,11040.0,13800.0,52.0,10.0
【鼻综合】欧式挺隆鼻 只做可揉捏挤推的美鼻！,广州韩妃整形美容,8600.0,69800.0,543.0,263.0
【其他】API皮肤综合检测,重庆星宸整形美容医院,11.0,50.0,233.0,1.0
【硅胶隆鼻】【案例征集】进口假体隆鼻0元整  美贝尔全力助力毕业求职季！案例征集30名,苏州美贝尔美容医院,1680.0,6800.0,6.0,0.0
【膨体隆鼻】【熊宜文鼻整形】原爱思特集团10年技术院长，24年专注鼻整形。,长沙贝美医疗美容,22800.0,33600.0,30.0,6.0
【眼部】【双眼皮+上睑松弛矫正+祛眼袋】阿基米德媚眼逆龄妩媚版，名医专属定制，限时预约中,贵阳华美整形美容医院,14800.0,18000.0,9.0,0.0
【自体耳软骨+硅胶隆鼻】N PLUS整形外科鼻综合整形术,韩国N Plus整形外科,26000.0,45000.0,83.0,65.0
"【衡力肉毒素100单位】兰州衡力肉毒素瘦脸,台湾医师注射！送价值1092元综合升级版SPA四选一！",亞鑫时尚医美,1280.0,2680.0,6.0,2.0
【保妥适肉毒素100单位】肉毒素除皱/部位，台湾医师！送价值1092元综合升级版spa护理项目四选一！,亞鑫时尚医美,1280.0,2400.0,15.0,0.0
【鼻综合】俏可丽综合鼻 【量身定制网红小翘鼻】不惧揉捏 写日记返3000,成都蜀尚蓉雅美容整形,4999.0,18000.0,795.0,0.0
【鼻综合】资深鼻部整形专家限时秒杀！ 日系清新自然风鼻综合,上海百达丽医疗美容门诊部,18000.0,48000.0,384.0,172.0
